timestamp,uV
1651668596000.0,-1400.0
1651668596000.002,-5592.0
1651668596000.004,-9844.0
1651668596000.0059,-11552.0
1651668596000.0078,-10375.0
1651668596000.0098,-7189.0
1651668596000.0117,-3223.0
1651668596000.0137,-357.0
1651668596000.0156,-582.0
1651668596000.0176,-4027.0
1651668596000.0195,-8509.0
1651668596000.0215,-11174.0
1651668596000.0234,-11078.0
1651668596000.0254,-8454.0
1651668596000.0273,-4495.0
1651668596000.0293,-1028.0
1651668596000.0312,17.0
1651668596000.0332,-2519.0
1651668596000.0352,-7036.0
1651668596000.037,-10569.0
1651668596000.039,-11447.0
1651668596000.041,-9556.0
1651668596000.043,-5836.0
1651668596000.045,-2062.0
1651668596000.0469,-116.0
1651668596000.0488,-1451.0
1651668596000.0508,-5603.0
1651668596000.0527,-9763.0
1651668596000.0547,-11531.0
1651668596000.0566,-10433.0
1651668596000.0586,-7163.0
1651668596000.0605,-3149.0
1651668596000.0625,-284.0
1651668596000.0645,-534.0
1651668596000.0664,-4001.0
1651668596000.0684,-8508.0
1651668596000.0703,-11193.0
1651668596000.0723,-11076.0
1651668596000.0742,-8407.0
1651668596000.0762,-4415.0
1651668596000.0781,-964.0
1651668596000.08,-43.0
1651668596000.082,-2475.0
1651668596000.084,-6991.0
1651668596000.086,-10568.0
1651668596000.088,-11440.0
1651668596000.0898,-9516.0
1651668596000.0918,-5815.0
1651668596000.0938,-1992.0
1651668596000.0957,13.0
1651668596000.0977,-1292.0
1651668596000.0996,-5441.0
1651668596000.1016,-9661.0
1651668596000.1035,-11462.0
1651668596000.1055,-10380.0
1651668596000.1074,-7144.0
1651668596000.1094,-3166.0
1651668596000.1113,-293.0
1651668596000.1133,-502.0
1651668596000.1152,-3936.0
1651668596000.1172,-8417.0
1651668596000.1191,-11094.0
1651668596000.121,-10994.0
1651668596000.123,-8371.0
1651668596000.125,-4420.0
1651668596000.127,-997.0
1651668596000.129,-94.0
1651668596000.1309,-2515.0
1651668596000.1328,-6999.0
1651668596000.1348,-10539.0
1651668596000.1367,-11349.0
1651668596000.1387,-9503.0
1651668596000.1406,-5766.0
1651668596000.1426,-1934.0
1651668596000.1445,68.0
1651668596000.1465,-1238.0
1651668596000.1484,-5394.0
1651668596000.1504,-9599.0
1651668596000.1523,-11418.0
1651668596000.1543,-10452.0
1651668596000.1562,-7155.0
1651668596000.1582,-3122.0
1651668596000.1602,-238.0
1651668596000.162,-472.0
1651668596000.164,-3946.0
1651668596000.166,-8391.0
1651668596000.168,-11056.0
1651668596000.17,-10973.0
1651668596000.1719,-8365.0
1651668596000.1738,-4408.0
1651668596000.1758,-943.0
1651668596000.1777,13.0
1651668596000.1797,-2464.0
1651668596000.1816,-6930.0
1651668596000.1836,-10509.0
1651668596000.1855,-11377.0
1651668596000.1875,-9435.0
1651668596000.1895,-5698.0
1651668596000.1914,-1872.0
1651668596000.1934,130.0
1651668596000.1953,-1166.0
1651668596000.1973,-5306.0
1651668596000.1992,-9533.0
1651668596000.2012,-11362.0
1651668596000.2031,-10324.0
1651668596000.205,-7113.0
1651668596000.207,-3142.0
1651668596000.209,-225.0
1651668596000.211,-403.0
1651668596000.213,-3841.0
1651668596000.2148,-8348.0
1651668596000.2168,-11096.0
1651668596000.2188,-11068.0
1651668596000.2207,-8447.0
1651668596000.2227,-4442.0
1651668596000.2246,-925.0
1651668596000.2266,84.0
1651668596000.2285,-2384.0
1651668596000.2305,-6860.0
1651668596000.2324,-10437.0
